ticket_id,overall_score,quality_level,assessments,issues,suggestions,needs_manual_review,review_timestamp
TK-20260323-C4E491C5,0.957,Excellent,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.9333333333333332, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.8, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}",[],[],False,2026-03-23T18:16:40.514821
TK-20260323-1E186AE3,0.785,Acceptable,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category""]","['Start title with category (Bug:, Feature Request:, etc.)']",False,2026-03-23T18:16:40.514821
TK-20260323-86CC2AF1,0.695,Needs Improvement,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0, 'issues': ['Low classification confidence: 0.00'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Medium may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}","['Low classification confidence: 0.00', 'Priority Medium may not match content']","['Review classification manually', 'Review priority assignment']",True,2026-03-23T18:16:40.514821
TK-20260323-2EBF5DB3,0.785,Acceptable,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category""]","['Start title with category (Bug:, Feature Request:, etc.)']",False,2026-03-23T18:16:40.514821
TK-20260323-3855FB04,0.852,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.9333333333333332, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.09999999999999998, 'issues': ['Priority Low may not match content', 'Bugs should rarely be Low priority'], 'suggestions': ['Review priority assignment', 'Consider raising priority to at least Medium']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}","['Priority Low may not match content', 'Bugs should rarely be Low priority']","['Review priority assignment', 'Consider raising priority to at least Medium']",False,2026-03-23T18:16:40.514821
TK-20260323-8B2FA153,0.839,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.7692307692307693, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}",[],[],False,2026-03-23T18:16:40.514821
TK-20260323-0D47979A,0.818,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': ['Missing platform/device information'], 'suggestions': ['Add platform and device details']}, 'classification_confidence': {'score': 0.8142857142857142, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Low may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Missing platform/device information', 'Priority Low may not match content']","['Add platform and device details', 'Review priority assignment']",False,2026-03-23T18:16:40.514821
TK-20260323-ED01D7E3,0.785,Acceptable,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category""]","['Start title with category (Bug:, Feature Request:, etc.)']",False,2026-03-23T18:16:40.514821
TK-20260323-FDAEB94A,0.885,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}",[],[],False,2026-03-23T18:16:40.514821
TK-20260323-3E180CD3,0.885,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}",[],[],False,2026-03-23T18:16:40.514821
TK-20260323-F1973485,0.855,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': ['Missing platform/device information'], 'suggestions': ['Add platform and device details']}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Low may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Missing platform/device information', 'Priority Low may not match content']","['Add platform and device details', 'Review priority assignment']",False,2026-03-23T18:16:40.514821
TK-20260323-DEC92351,0.899,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.8692307692307693, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': ['Critical priority without critical indicators'], 'suggestions': ['Review if this truly requires Critical priority']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}",['Critical priority without critical indicators'],['Review if this truly requires Critical priority'],False,2026-03-23T18:16:40.514821
TK-20260323-DAA73D9C,0.785,Acceptable,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category""]","['Start title with category (Bug:, Feature Request:, etc.)']",False,2026-03-23T18:16:40.514821
TK-20260323-24C62829,0.855,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': ['Missing platform/device information'], 'suggestions': ['Add platform and device details']}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Low may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Missing platform/device information', 'Priority Low may not match content']","['Add platform and device details', 'Review priority assignment']",False,2026-03-23T18:16:40.514821
